Format Version,1.23,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
614,5.117,,,,74.442284,1458.017944,1022.061951,-185.525467,1335.591064,970.059753,-401.947815,1366.439087,941.771179,166.958832,894.743042,862.335327,112.201042,1055.853027,954.287476
615,5.125,,,,74.408768,1458.013428,1021.742004,-185.552383,1335.606934,969.853333,-401.936523,1366.465576,941.553833,166.934982,894.63678,862.111633,112.177994,1055.820068,953.882568
616,5.133,,,,74.38974,1458.026855,1021.420471,-185.555008,1335.632812,969.602661,-401.961731,1366.493286,941.36322,166.915466,894.565857,861.883667,112.132828,1055.788818,953.603394
617,5.142,,,,74.376198,1458.027832,1021.081421,-185.570587,1335.628784,969.37262,-402.006866,1366.526611,941.167297,166.881836,894.543945,861.615479,112.084,1055.77478,953.326782
618,5.15,,,,74.33815,1458.036865,1020.72583,-185.566544,1335.681152,969.030701,-402.054718,1366.571045,940.990356,166.842224,894.482117,861.31311,111.360489,1055.312378,955.203735
619,5.158,,,,74.319733,1458.032104,1020.41803,-185.610779,1335.738403,968.630859,-402.120331,1366.633179,940.808044,166.809906,894.480957,861.075378,111.928116,1055.740967,952.91095
620,5.167,,,,74.303871,1458.066162,1020.11499,-185.579926,1335.783936,968.382935,-402.177948,1366.72876,940.58728,166.775436,894.457031,860.891235,111.878967,1055.752686,952.392761
621,5.175,,,,74.284348,1458.062012,1019.817444,-185.641373,1335.797729,968.184692,-402.226044,1366.792114,940.351379,166.722977,894.377747,860.735413,111.796547,1055.722168,952.140625
622,5.183,,,,74.284416,1458.106079,1019.479126,-185.699463,1335.817505,967.97522,-402.243805,1366.874756,940.085632,166.673904,894.338013,860.569458,111.724396,1055.716309,951.888428
623,5.192,,,,74.267967,1458.140991,1019.196045,-185.739868,1335.854248,967.76886,-402.273651,1366.937622,939.823059,166.607407,894.295837,860.396179,111.658333,1055.706665,951.681763
624,5.2,,,,74.225327,1458.159302,1018.922913,-185.704376,1335.897217,967.449036,-402.324493,1367.000122,939.56189,166.562057,894.23468,860.249878,110.922722,1055.224121,953.621582
625,5.208,,,,74.178009,1458.182129,1018.578552,-185.722733,1335.921387,967.148621,-402.384613,1367.06311,939.299927,166.481705,894.181763,860.060364,111.482903,1055.643555,951.388
626,5.217,,,,74.142586,1458.220459,1018.302307,-185.808334,1335.934937,966.876953,-402.457123,1367.129639,939.043884,166.413193,894.146851,859.868835,111.393982,1055.660278,951.001404
627,5.225,,,,74.11718,1458.249756,1018.0578,-185.909821,1335.930298,966.691956,-402.56076,1367.193604,938.784607,166.33844,894.128906,859.643677,111.253899,1055.621094,950.780212
628,5.233,,,,74.065659,1458.296021,1017.81073,-185.962875,1335.942993,966.464844,-402.632629,1367.255615,938.515137,166.256363,894.112122,859.483093,111.181488,1055.651367,950.469116
629,5.242,,,,74.038788,1458.333618,1017.579529,-185.973572,1335.979614,966.234375,-402.664154,1367.332153,938.229736,166.133377,894.038269,859.349792,111.10704,1055.670898,950.18634
630,5.25,,,,73.912392,1458.357544,1017.377136,-186.091248,1336.013306,965.968506,-402.690308,1367.395264,937.926453,165.998489,894.002258,859.173218,111.010864,1055.618408,950.091248
631,5.258,,,,73.870178,1458.342041,1017.1026,-186.159103,1336.053955,965.657654,-402.692017,1367.456787,937.630066,165.889771,893.976318,859.000977,110.259369,1055.130493,952.125977
632,5.267,,,,73.825096,1458.334595,1016.827698,-186.149246,1336.051514,965.378662,-402.714844,1367.528809,937.316467,165.791656,893.903259,858.879272,110.212524,1055.122314,951.950134
633,5.275,,,,73.782593,1458.335938,1016.583435,-186.252441,1336.055542,965.176697,-402.743744,1367.589478,937.027405,165.68985,893.867126,858.716125,110.780678,1055.521484,949.767639
634,5.283,,,,73.720627,1458.328369,1016.345154,-186.32959,1336.071655,964.954224,-402.860138,1367.599487,936.739258,165.58902,893.819763,858.573975,110.737694,1055.521484,949.44635
635,5.292,,,,73.643562,1458.308716,1016.096619,-186.393402,1336.053833,964.732117,-402.926056,1367.640747,936.440369,165.50351,893.783447,858.387756,110.650963,1055.468262,949.269165
636,5.3,,,,73.631554,1458.331421,1015.81311,-186.498489,1336.101929,964.438843,-402.94928,1367.703247,936.157288,165.432587,893.761841,858.184692,110.566742,1055.446655,949.016479
637,5.308,,,,73.600647,1458.294434,1015.543945,-186.614319,1336.133301,964.124512,-402.989258,1367.740234,935.888794,165.373138,893.737732,858.025513,110.461113,1055.435425,948.840881
638,5.317,,,,73.489616,1458.301758,1015.286926,-186.665451,1336.144165,963.820068,-403.041656,1367.810425,935.609436,165.309708,893.6875,857.910217,110.370598,1055.394531,948.65802
639,5.325,,,,73.461533,1458.29834,1014.997864,-186.748428,1336.141357,963.626953,-403.085388,1367.845459,935.335815,165.283615,893.655518,857.800049,109.651443,1054.914185,950.685242
640,5.333,,,,73.439354,1458.307251,1014.740601,-186.86409,1336.164429,963.408691,-403.110352,1367.889893,935.055542,165.263977,893.629211,857.650391,110.23101,1055.328979,948.528442
641,5.342,,,,73.414917,1458.308472,1014.497253,-186.932022,1336.187744,963.196655,-403.145355,1367.917603,934.764404,165.216614,893.60437,857.515015,110.209007,1055.337891,948.201294
642,5.35,,,,73.387405,1458.298828,1014.263062,-187.000168,1336.19397,962.936035,-403.193542,1367.942993,934.506287,165.156616,893.562134,857.424927,110.169678,1055.332764,948.027283
643,5.358,,,,73.359383,1458.289673,1014.011841,-187.041107,1336.237549,962.660278,-403.208252,1367.967651,934.230042,165.135284,893.52063,857.31311,110.106514,1055.314697,947.908997
644,5.367,,,,73.33873,1458.286133,1013.739319,-187.005966,1336.260376,962.375732,-403.245422,1367.979126,933.9552,165.088928,893.483765,857.171204,110.046486,1055.280762,947.780457
645,5.375,,,,73.295692,1458.295166,1013.449646,-186.985947,1336.296631,962.16449,-403.289276,1367.997803,933.664062,165.070419,893.442444,857.028931,110.001648,1055.269897,947.559204
646,5.383,,,,73.251251,1458.265015,1013.178955,-187.037399,1336.309692,961.953003,-403.291046,1367.976196,933.284302,165.035553,893.406494,856.849365,109.932106,1055.216553,947.432312
647,5.392,,,,73.135887,1458.223389,1012.971497,-187.023605,1336.330688,961.697693,-403.371246,1367.937012,933.039124,165.013123,893.372437,856.673096,109.893326,1055.201172,947.222717
648,5.4,,,,73.087326,1458.186035,1012.722046,-187.055603,1336.335449,961.460754,-403.441864,1367.933838,932.804504,164.980255,893.316162,856.472961,109.833557,1055.167114,947.005432
649,5.408,,,,73.035141,1458.165527,1012.480591,-187.066467,1336.351196,961.19342,-403.493774,1367.931641,932.585205,164.940201,893.275635,856.322327,109.819893,1055.143311,946.770203
650,5.417,,,,72.994041,1458.146362,1012.259949,-187.053726,1336.401123,960.883972,-403.547119,1367.951416,932.377991,164.936813,893.212219,856.200623,109.780151,1055.119751,946.603271
651,5.425,,,,72.954727,1458.116699,1012.008911,-187.041779,1336.417847,960.635315,-403.60379,1367.9552,932.157104,164.892883,893.122192,856.086853,109.761772,1055.049072,946.425415
652,5.433,,,,72.912956,1458.116821,1011.780762,-187.039551,1336.446777,960.4104,-403.663635,1367.990601,931.941345,164.886124,893.064331,855.998169,109.756294,1055.040039,946.18158
653,5.442,,,,72.876122,1458.07312,1011.538635,-187.076721,1336.461304,960.187805,-403.710205,1368.015381,931.594727,164.875916,893.03125,855.86792,109.701363,1054.968628,946.076477
654,5.45,,,,72.833694,1458.070923,1011.315491,-187.110397,1336.488403,959.934265,-403.750732,1368.029541,931.335266,164.879181,892.928711,855.784424,109.716827,1054.937134,945.890686
655,5.458,,,,72.784882,1458.060181,1011.128418,-187.131256,1336.466309,959.691406,-403.777283,1368.036743,931.129028,164.884277,892.863159,855.666931,109.692436,1054.910645,945.69635
656,5.467,,,,72.729492,1458.053223,1010.935181,-187.14592,1336.466309,959.431335,-403.818115,1368.042847,930.927368,164.898697,892.785034,855.542175,109.696114,1054.874146,945.490662
657,5.475,,,,72.684074,1458.043457,1010.75708,-187.206512,1336.460815,959.154724,-403.852081,1368.051514,930.728821,164.898499,892.723389,855.431946,109.002815,1054.389282,947.55835
658,5.483,,,,72.637466,1458.056152,1010.52533,-187.284241,1336.424072,958.950012,-403.895599,1368.047974,930.513672,164.905136,892.716919,855.294312,109.007111,1054.375366,947.344849
659,5.492,,,,72.602173,1458.033325,1010.316345,-187.323471,1336.372559,958.726807,-403.945557,1368.041382,930.303406,164.905304,892.668945,855.160889,109.645279,1054.78479,945.154114
660,5.5,,,,72.522545,1458.018188,1010.082275,-187.358673,1336.319092,958.532959,-403.989532,1368.045776,929.97522,164.953552,892.640015,854.966125,109.636177,1054.77124,944.793884
661,5.508,,,,72.509422,1458.026001,1009.828796,-187.364288,1336.271606,958.327576,-404.056335,1367.979248,929.753723,164.958511,892.608948,854.827515,109.648575,1054.762207,944.486389
662,5.517,,,,72.492271,1458.005005,1009.573608,-187.427994,1336.207153,958.131287,-404.134613,1367.93103,929.55011,164.952118,892.513489,854.741699,109.627014,1054.719971,944.34259
663,5.525,,,,72.47197,1458.008911,1009.338867,-187.497223,1336.138672,957.919556,-404.197815,1367.88147,929.365173,164.955551,892.483643,854.631287,109.592834,1054.675903,944.194702
664,5.533,,,,72.413963,1458.007812,1009.131409,-187.593018,1336.088501,957.644226,-404.253845,1367.841431,929.198608,164.937363,892.424194,854.529907,109.590439,1054.661011,943.995911
665,5.542,,,,72.359062,1457.996948,1008.896973,-187.647903,1336.047363,957.378418,-404.280975,1367.771484,928.960449,164.916397,892.351379,854.422668,109.571808,1054.634277,943.846313
666,5.55,,,,72.306625,1457.976807,1008.668091,-187.693878,1335.987549,957.158691,-404.306244,1367.716797,928.747009,164.885834,892.281067,854.312256,108.909004,1054.154541,945.980896
667,5.558,,,,72.274345,1457.923218,1008.396729,-187.78688,1335.928101,956.945129,-404.340912,1367.644287,928.542297,164.886581,892.220215,854.179993,108.899086,1054.120117,945.791992
668,5.567,,,,72.236221,1457.922363,1008.14093,-187.727859,1335.86377,956.706726,-404.357452,1367.589844,928.344421,164.864273,892.156006,854.083618,108.885986,1054.079346,945.630127
669,5.575,,,,72.204819,1457.873291,1007.896057,-187.828629,1335.796997,956.432495,-404.421539,1367.528564,928.174133,164.762573,892.092102,853.973511,109.39724,1054.409424,943.538574
670,5.583,,,,72.16095,1457.840088,1007.690308,-187.913544,1335.733643,956.136963,-404.501129,1367.467529,927.998779,164.75795,892.046265,853.861938,109.419746,1054.406982,943.12793
671,5.592,,,,72.123825,1457.820923,1007.499573,-187.990051,1335.681763,955.845947,-404.584442,1367.413696,927.857666,164.743561,892.01416,853.720764,109.345932,1054.323242,942.968811
672,5.6,,,,72.063133,1457.816528,1007.308594,-188.076996,1335.610352,955.627625,-404.657074,1367.367798,927.730591,164.726715,891.923157,853.588562,109.362129,1054.322754,942.690979
673,5.608,,,,72.029099,1457.796631,1007.084717,-188.14093,1335.546875,955.336182,-404.722626,1367.328979,927.634033,164.690247,891.827454,853.466003,109.326004,1054.288696,942.538818
674,5.617,,,,71.997414,1457.765991,1006.81604,-188.196487,1335.46936,955.050354,-404.786957,1367.308228,927.570129,164.678757,891.74707,853.317078,109.317665,1054.247803,942.384338
675,5.625,,,,71.918785,1457.734009,1006.54126,-188.245346,1335.396606,954.763794,-404.856354,1367.311401,927.541626,164.649872,891.720703,853.126953,109.305504,1054.208008,942.259888
676,5.633,,,,71.863182,1457.695679,1006.323914,-188.292221,1335.345459,954.408752,-404.942108,1367.29895,927.552673,164.617889,891.692078,852.981201,109.299477,1054.192505,942.114502
677,5.642,,,,71.826637,1457.679932,1006.096741,-188.257111,1335.278564,954.030029,-405.042053,1367.305176,927.612122,164.593201,891.59436,852.876038,109.319847,1054.157837,941.887512
678,5.65,,,,71.771782,1457.632446,1005.855103,-188.304337,1335.112549,953.784668,-405.135773,1367.287598,927.65918,164.602554,891.531433,852.765625,109.318779,1054.133301,941.748657
679,5.658,,,,71.728851,1457.589355,1005.632507,-188.40506,1334.95752,953.541992,-405.224762,1367.266357,927.740845,164.581879,891.442322,852.665771,109.322556,1054.080933,941.63208
680,5.667,,,,71.695778,1457.536987,1005.388855,-188.543869,1334.862061,953.235901,-405.288483,1367.240967,927.822144,164.556198,891.389893,852.54657,109.308441,1054.064331,941.522217
681,5.675,,,,71.662224,1457.486694,1005.121948,-188.58522,1334.827759,952.889465,-405.376434,1367.217651,927.919739,164.558258,891.344604,852.459473,109.294098,1054.025269,941.429504
682,5.683,,,,71.598701,1457.417236,1004.827515,-188.656311,1334.740967,952.628418,-405.536591,1367.181641,928.039429,164.577972,891.279602,852.328735,109.256569,1053.986206,941.31073
683,5.692,,,,71.578491,1457.365601,1004.59729,-188.729568,1334.67334,952.452698,-405.622101,1367.161621,928.140015,164.561661,891.237366,852.220703,109.22332,1053.937988,941.170898
684,5.7,,,,71.533073,1457.348877,1004.380493,-188.728699,1334.608276,952.216614,-405.692017,1367.146729,928.269165,164.575623,891.176086,852.108337,109.243057,1053.92334,940.87854
685,5.708,,,,71.496796,1457.275879,1004.145996,-188.820007,1334.526367,951.988647,-405.792419,1367.124146,928.38739,164.580856,891.094177,852.02655,109.190285,1053.879272,940.766479
686,5.717,,,,71.472977,1457.233032,1003.933777,-188.89296,1334.437134,951.759033,-405.898743,1367.094482,928.50769,164.574158,891.06311,851.906372,108.517487,1053.36145,942.714172
687,5.725,,,,71.450172,1457.185913,1003.664734,-188.927689,1334.328369,951.450195,-406.01593,1367.088623,928.649292,164.578064,891.025146,851.754028,108.520897,1053.335571,942.562683
688,5.733,,,,71.424515,1457.122925,1003.380432,-189.032791,1334.210693,951.174622,-406.155243,1367.092529,928.826294,164.613678,890.951111,851.668701,108.496246,1053.285034,942.404785
689,5.742,,,,71.363098,1457.055664,1003.105774,-189.059067,1334.073853,950.823792,-406.309326,1367.158447,928.992126,164.586899,890.918945,851.469238,109.081718,1053.699951,940.364929
690,5.75,,,,71.3536,1457.000366,1002.827759,-189.171387,1333.916138,950.504333,-406.508392,1367.256958,929.37915,164.60495,890.869751,851.361267,109.083733,1053.670654,940.054199
691,5.758,,,,71.282448,1456.950562,1002.56073,-189.221954,1333.767334,950.038757,-406.725342,1367.392334,929.714966,164.591309,890.852722,851.234131,109.055717,1053.639648,939.894531
692,5.767,,,,71.175339,1456.878052,1002.276794,-189.277817,1333.620972,949.441467,-406.995056,1367.624146,930.142029,164.600021,890.831665,851.119446,109.07962,1053.552124,939.746765
693,5.775,,,,71.071579,1456.851318,1001.996399,-189.305359,1333.535645,948.920288,-407.236542,1367.93811,930.682434,164.569794,890.791016,851.017761,109.109604,1053.536743,939.50238
694,5.783,,,,70.95446,1456.699097,1001.69696,-189.447174,1333.503174,948.14917,-407.440002,1368.327393,931.221008,164.56456,890.732849,850.942566,109.0616,1053.492188,939.432251
695,5.792,,,,70.896774,1456.593018,1001.336548,-189.622543,1333.492432,947.469604,-407.770508,1368.808228,932.101807,164.522141,890.662109,850.845154,109.071022,1053.452148,939.261047
696,5.8,,,,70.85247,1456.508789,1001.002686,-189.721741,1333.535156,946.656555,-408.075104,1369.286011,932.893494,164.516357,890.641724,850.751953,109.071327,1053.412964,939.076172
697,5.808,,,,70.784157,1456.42749,1000.636597,-189.901031,1333.621582,945.94458,-408.397278,1369.936768,933.901794,164.515732,890.626465,850.643127,109.113777,1053.35498,938.882385
698,5.817,,,,70.721634,1456.346069,1000.29303,-190.070801,1333.704712,945.107361,-408.753906,1370.529541,934.914429,164.486862,890.557861,850.575623,109.138344,1053.319214,938.695007
699,5.825,,,,70.676437,1456.26355,999.843872,-190.340164,1333.824829,944.391785,-409.190887,1371.228394,936.126404,164.486023,890.513977,850.494446,109.147308,1053.252319,938.544189
700,5.833,,,,70.629112,1456.234985,999.45874,-190.648071,1334.013306,943.553284,-409.60376,1372.016724,937.366455,164.477615,890.433716,850.431702,109.210335,1053.230713,938.304382
701,5.842,,,,70.599014,1456.160889,999.019775,-191.055649,1334.116211,942.828796,-410.03479,1372.843262,938.699097,164.488556,890.347473,850.365967,109.234123,1053.154541,938.202637
702,5.85,,,,70.565735,1456.093994,998.591919,-191.440674,1334.253906,942.01947,-410.477997,1373.702637,940.145691,164.484955,890.309387,850.27948,109.247368,1053.091431,938.053833
703,5.858,,,,70.560509,1456.031738,998.087524,-191.806686,1334.489136,941.323486,-410.865967,1374.695068,941.769226,164.523361,890.284729,850.16333,109.296753,1053.043457,937.867249
704,5.867,,,,70.569351,1456.005127,997.641296,-192.144424,1334.767212,940.606689,-411.264038,1375.747314,943.383057,164.552902,890.197449,850.066101,109.329918,1052.993896,937.722778
705,5.875,,,,70.572762,1455.977173,997.221497,-192.405426,1334.988647,940.000305,-411.604156,1376.826172,945.032654,164.577377,890.138367,849.955811,109.387711,1052.946899,937.533386
706,5.883,,,,70.573242,1455.963257,996.809143,-192.632126,1335.273926,939.119263,-411.986969,1377.982422,946.95636,164.66745,890.071594,849.847534,109.43557,1052.891602,937.37854
707,5.892,,,,70.623932,1455.9198,996.312378,-193.006256,1335.506348,938.513794,-412.236664,1379.095093,948.918457,164.742752,889.997253,849.741211,108.827324,1052.411499,939.348083
708,5.9,,,,70.625977,1455.909424,995.840149,-193.308884,1335.720215,937.753479,-412.805786,1380.23999,951.100586,164.829529,889.886841,849.652283,108.892532,1052.377808,939.140076
709,5.908,,,,70.594421,1455.915405,995.430725,-193.518417,1336.172607,937.151245,-412.999664,1381.424194,953.159851,164.96669,889.82605,849.505493,108.959236,1052.345337,938.90509
710,5.917,,,,70.568512,1455.883667,994.985413,-193.734924,1336.588745,936.463196,-413.384155,1382.628052,955.465881,165.082016,889.720276,849.40387,109.054817,1052.30481,938.658264
711,5.925,,,,70.57225,1455.854126,994.497437,-194.067871,1337.004883,935.803711,-413.575775,1383.731567,957.70813,165.40181,889.207336,849.421448,109.729378,1052.645264,936.537476
712,5.933,,,,70.588219,1455.861206,993.933228,-194.404617,1337.467163,935.13855,-413.740692,1384.919922,960.058777,165.452316,889.304749,849.260925,109.840736,1052.636353,936.038574
713,5.942,,,,70.622688,1455.897461,993.468811,-194.722702,1337.983398,934.519592,-413.978546,1386.138062,962.562317,165.608536,889.162476,849.169434,109.855728,1052.579468,935.799011
714,5.95,,,,70.628815,1455.915161,992.986267,-195.067841,1338.447998,934.080505,-413.982574,1387.359497,964.981506,165.850922,888.910583,849.082458,109.885056,1052.485474,935.570557
715,5.958,,,,70.618828,1455.891602,992.501892,-195.333099,1338.981201,933.447021,-413.953674,1388.668701,967.604309,165.840912,888.960083,848.952698,109.916672,1052.427979,935.342102
716,5.967,,,,70.632118,1455.894531,992.006897,-195.67392,1339.549683,932.964661,-413.958618,1389.920532,970.34668,165.996964,888.791321,848.845032,110.003685,1052.363647,935.027161
717,5.975,,,,70.69651,1455.87085,991.503662,-196.011398,1340.168579,932.589661,-413.897369,1391.139893,973.10022,166.175186,888.578003,848.750244,109.342613,1051.837891,937.048584
718,5.983,,,,70.742218,1455.867554,991.029663,-196.306931,1340.90564,932.022766,-413.723083,1392.278809,975.957092,166.255859,888.575073,848.61499,109.376045,1051.78894,936.803894
719,5.992,,,,70.759674,1455.892944,990.569946,-196.701996,1341.564575,931.712646,-413.650909,1393.515259,979.09137,166.348068,888.507141,848.468506,110.020409,1052.122192,934.691345
720,6,,,,70.81218,1455.901367,990.01886,-197.132095,1342.092285,931.352844,-413.358154,1394.710693,982.089661,166.638138,888.21521,848.362793,110.087357,1052.043579,934.285156
721,6.008,,,,70.871239,1455.932617,989.522095,-197.553055,1342.642334,930.834229,-412.733093,1396.156982,985.290649,166.533478,888.424866,848.199402,110.128967,1051.969849,933.972168
722,6.017,,,,70.937508,1455.951172,989.051453,-197.913193,1343.256714,930.410828,-412.455292,1397.367188,988.626587,166.637268,888.329895,848.063721,110.17144,1051.891724,933.644348
723,6.025,,,,70.990059,1455.970337,988.510986,-198.268433,1343.868286,930.00354,-411.938812,1398.459473,992.00769,166.812271,888.194824,847.941406,110.250252,1051.790527,933.321289
724,6.033,,,,71.034393,1455.966675,987.973022,-198.656815,1344.497803,929.498596,-411.22995,1399.577881,995.44812,166.934189,888.022217,847.786743,110.344734,1051.711182,933.00592
725,6.042,,,,71.10952,1455.974609,987.468628,-198.933197,1345.007568,929.044861,-410.475952,1400.642822,998.931824,166.988373,888.00885,847.617188,110.434235,1051.641968,932.696106
726,6.05,,,,71.159576,1456.010254,986.973877,-199.368134,1345.618652,928.61145,-409.616394,1401.671631,1002.527954,166.986267,888.036865,847.389893,110.474205,1051.549438,932.516113
727,6.058,,,,71.24926,1456.069458,986.421753,-199.761002,1346.17627,928.098206,-408.673859,1402.665894,1006.231323,167.089493,887.995911,847.137146,110.511414,1051.515381,932.290405
728,6.067,,,,71.342751,1456.127441,985.9021,-200.212311,1346.762085,927.719482,-407.706696,1403.61377,1010.032288,167.23204,887.795593,846.99884,110.614639,1051.447388,931.990356
729,6.075,,,,71.439835,1456.125854,985.339905,-201.446045,1347.307007,926.811646,-406.556152,1404.536255,1013.930786,167.253143,887.871765,846.792053,110.685631,1051.37793,931.690369
730,6.083,,,,71.462105,1456.120117,984.930969,-202.457077,1347.602173,926.760193,-405.289276,1405.479614,1017.979248,167.317352,887.692993,846.680786,110.010757,1050.88501,933.540649
731,6.092,,,,71.499214,1456.161987,984.533997,-202.890945,1348.145996,926.67218,-404.009155,1406.292603,1022.020691,167.42128,887.507629,846.58783,110.04924,1050.810913,933.23053
732,6.1,,,,71.55349,1456.181519,984.126526,-203.391464,1348.557861,926.602295,-402.5867,1407.05249,1026.19397,167.467178,887.437927,846.40448,110.792801,1051.166138,930.992371
733,6.108,,,,71.574997,1456.178345,983.627319,-203.95192,1349.086548,926.531799,-400.923706,1407.834961,1030.515991,167.384338,887.609131,846.169495,110.831673,1051.125488,930.583008
734,6.117,,,,71.631699,1456.227295,983.125977,-204.389267,1349.675415,926.385986,-399.215271,1408.502197,1034.786499,167.551559,887.167114,846.172363,110.847816,1051.025391,930.279541
735,6.125,,,,71.69297,1456.270752,982.673584,-204.940308,1350.29187,926.272644,-397.40451,1409.082764,1039.281128,167.642471,886.997803,846.050476,110.918762,1051.010864,929.91571
736,6.133,,,,71.763298,1456.273438,982.195251,-205.520142,1350.971924,926.109314,-395.352142,1409.672974,1043.712524,167.803574,886.728394,845.968079,110.724251,1050.410889,929.534851
737,6.142,,,,71.815742,1456.241699,981.635498,-205.948685,1351.643066,925.946045,-393.232788,1410.16748,1048.10022,167.668137,887.073792,845.604858,110.932228,1050.854004,929.03241
738,6.15,,,,71.853058,1456.228149,981.144226,-206.261948,1352.279175,925.726685,-390.996582,1410.634277,1052.687622,167.959274,886.518066,845.612854,110.790466,1050.606934,928.965271
739,6.158,,,,71.871315,1456.198608,980.7099,-206.678589,1352.878174,925.660645,-388.587799,1410.922119,1057.318115,167.745026,887.084595,845.143616,110.756714,1050.436035,928.582642
740,6.167,,,,71.875839,1456.200928,980.340332,-207.113327,1353.500122,925.591858,-386.170807,1411.262695,1061.90564,168.009201,886.546509,845.157654,110.759537,1050.187866,928.187195
741,6.175,,,,71.882561,1456.215088,979.932068,-207.43898,1354.060913,925.435303,-383.688171,1411.476685,1066.595581,167.970276,886.690735,844.845459,110.416878,1049.767456,929.987854
742,6.183,,,,71.839745,1456.192871,979.4823,-207.861984,1354.534058,925.510742,-380.96933,1411.548828,1071.205811,168.246613,886.134399,844.823486,110.358719,1049.750488,929.727112
743,6.192,,,,71.842537,1456.186646,979.006287,-208.250275,1354.981812,925.584778,-378.198669,1411.767212,1075.744141,168.244507,886.178955,844.587585,110.9142,1050.212036,927.655823
744,6.2,,,,71.828743,1456.208008,978.599854,-208.565033,1355.416382,925.600952,-375.122314,1411.785278,1080.294067,168.257523,885.963867,844.442688,110.852737,1049.773193,927.265442
745,6.208,,,,71.768082,1456.17041,978.235229,-208.907227,1355.775635,925.785889,-371.942719,1411.901123,1084.787842,168.220032,885.965759,844.244812,109.728073,1048.921387,930.515808
746,6.217,,,,71.701019,1456.10022,977.803345,-209.26445,1356.05481,926.012878,-368.398376,1411.818604,1089.229736,168.089264,886.264221,843.9245,112.032455,1050.862061,923.00769
747,6.225,,,,71.636505,1456.026123,977.308838,-209.71817,1356.331665,926.332642,-364.99408,1411.95752,1093.630493,168.132156,886.074707,843.78363,112.254936,1051.014404,922.492798
748,6.233,,,,71.636566,1455.9552,976.862549,-210.062286,1356.65271,926.615051,-361.231598,1411.784424,1097.901855,168.193726,885.89032,843.626343,111.64769,1050.269043,922.418518
749,6.242,,,,71.593971,1455.906982,976.417358,-210.524429,1356.871826,927.063416,-357.282959,1411.892944,1102.106812,168.323242,885.539856,843.553406,111.977493,1050.574219,921.983765
750,6.25,,,,71.542877,1455.875854,976.003052,-210.930145,1357.137939,927.503052,-353.348541,1411.699341,1106.425415,168.09317,886.178223,842.996277,111.992043,1050.569946,921.684875
751,6.258,,,,71.487488,1455.814941,975.60791,-211.273102,1357.338745,927.930908,-349.2117,1411.598633,1110.601074,168.20816,885.730835,842.94458,112.06588,1050.578735,921.40448
752,6.267,,,,71.411903,1455.748047,975.24231,-211.721817,1357.493896,928.571899,-344.987335,1411.526367,1114.836304,168.140228,886.022827,842.576477,108.869392,1047.777588,926.156982
753,6.275,,,,71.33474,1455.689087,974.864746,-212.027664,1357.690796,929.138245,-340.74173,1411.37793,1119.013794,168.356674,885.246338,842.776672,110.552902,1049.378296,925.854797
754,6.283,,,,71.267426,1455.638672,974.484009,-212.399521,1357.852539,929.875122,-336.227814,1411.230225,1122.92981,168.282211,885.53064,842.462219,109.427505,1048.61145,927.06665
755,6.292,,,,71.17112,1455.579712,974.137634,-212.732376,1358.060547,930.520264,-331.610626,1411.008545,1127.018921,168.353622,885.262451,842.401428,110.393196,1049.127075,924.281738
756,6.3,,,,71.060051,1455.480103,973.791321,-213.08551,1358.234741,931.316833,-327.00238,1410.700195,1130.901978,168.305862,885.329163,842.199951,110.447029,1049.037354,923.694519
757,6.308,,,,70.996605,1455.418945,973.476074,-213.383987,1358.481567,932.165344,-322.324799,1410.566772,1134.648682,168.266556,885.496887,841.942322,110.407692,1049.109131,923.14679
758,6.317,,,,70.852516,1455.356323,973.183105,-213.819839,1358.701294,933.038452,-317.411987,1410.237305,1138.572754,168.371384,885.108459,841.921387,109.878036,1048.747192,925.202515
759,6.325,,,,70.726929,1455.317505,972.9198,-214.174622,1358.976562,933.973877,-312.641968,1409.910889,1142.237305,168.294968,885.2677,841.660156,109.923592,1048.490723,924.802979
760,6.333,,,,70.620399,1455.279785,972.683777,-214.446304,1359.310547,934.884949,-307.590759,1409.672119,1145.805786,168.401703,885.06012,841.544861,110.431068,1049.233398,922.749146
761,6.342,,,,70.503273,1455.242798,972.479614,-214.838928,1359.502808,935.880859,-302.486877,1409.319702,1149.27478,168.256531,885.162659,841.291626,110.097954,1048.802979,922.391052
762,6.35,,,,70.375824,1455.213623,972.317017,-215.247482,1359.741577,937.027527,-297.42569,1408.953003,1152.694824,168.20517,885.172363,841.035645,110.226517,1049.119873,921.933594
763,6.358,,,,70.220459,1455.19165,972.176392,-215.481079,1360.021484,937.842224,-292.290588,1408.628174,1155.994019,168.239365,884.766602,841.055542,110.222488,1049.111816,921.878113
764,6.367,,,,70.156441,1455.165649,972.01416,-215.692993,1360.308838,938.913696,-287.222809,1408.238892,1159.180542,167.903458,885.49646,840.5271,110.001373,1048.849243,921.75061
765,6.375,,,,70.023804,1455.149414,971.955139,-215.933029,1360.612915,939.860901,-281.790588,1407.848389,1162.177246,167.925323,884.812622,840.749573,109.94442,1048.942627,921.478699
